Ticker,Beta,Alpha,StdErrA,StdErrB,R-squared,CAPM,AdjCAPM,Sharpe Ratio (Arth),Sharpe Ratio (Log),Sortino Ratio (Arth),Sortino Ratio (Log),Purchase Closing Price,Recent Closing Price,Look Back Common Shares,Purchase Price Common Shares,Current Common Shares,Current Market Value,+SortinoWeight,bruteAllocation
ANSS,1.2390156804945909,0.00278498192041535,0.006940416633068306,0.14004820059383769,0.6054786717347449,0.06789383106621331,0.06804143510799533,0.4107423582496754,0.4076263814377393,0.6016128980269342,0.5476178054609885,82.0,216.5,92.4,91.9,87.1,18994.9,0.001,0.016062159985022015
AZTA,1.512392515224317,0.0005790919360011341,0.01709391866605532,0.34493210953246545,0.27376081803982255,0.0823828033068888,0.08241349517949687,0.23620229083124536,0.2541545060193511,0.6454239131424316,0.5597101978863901,12.8,45.0,66.3,67.3,75.0,3450.9,0.001,0.015910738384452033
SPGI,1.0309901008567333,0.007264461963964149,0.0061221016160396425,0.12353571269682298,0.5772912653380862,0.056868475345406864,0.05725349182949696,0.4254914382524516,0.4303454172462349,0.8462808777841242,0.7951030710379867,89.0,319.3,278.0,271.5,333.5,103895.3,0.0010000000011355517,0.01580779795691208
HUBG,0.9258294793297634,0.0011073546438305347,0.00948232607180444,0.19134048775587034,0.31463150985959354,0.051294962404477465,0.05135365220060048,0.3301460951051722,0.3338448214480624,0.6159242538344418,0.568471657060402,38.1,75.0,36.9,36.8,34.0,2601.2,0.001,0.015735198122083693
V,0.9043024695528403,0.0036554578571030695,0.006603940800327261,0.13325857434947436,0.4745019726560624,0.050154030886300535,0.050347770152727005,0.41185174457313667,0.4146063776798214,0.755518883122052,0.7112783761166129,65.6,204.3,2086.4,1974.0,1635.0,421187.8,0.001,0.015479319745412298
CACI,0.9330766230171338,0.004078178907953846,0.008776144086815854,0.17709069245997713,0.35247562580752645,0.051679061019908094,0.05189520450202964,0.3493615624253113,0.3520514301923086,0.6434905143083396,0.5978066739682802,86.2,294.9,26.4,23.8,23.4,6549.1,0.01369286695670029,0.015075797188600054
ZBRA,1.570157413011045,0.007363706081936843,0.011590380313237305,0.23387816508495626,0.4691482549909468,0.08544434288958538,0.08583461931192804,0.31531223141037007,0.32835888240590055,0.6760593263143542,0.6066937841464479,77.4,275.3,52.0,50.9,51.8,14148.0,0.08,0.01503765027058375
MSCI,0.9669905655036501,0.017213478291558035,0.008308670779729957,0.16765771473770352,0.3947719357504087,0.05347649997169346,0.054388814321146034,0.3599651542823549,0.3664069784344861,0.6685264430251409,0.6181983793680718,47.4,455.2,120.6,112.0,80.0,36109.1,0.001,0.01481011278455557
A,1.041521800794242,0.0015230766013349423,0.006590879227871234,0.13299500952100612,0.5459766404311825,0.057426655442094826,0.05750737850196558,0.41374016191418383,0.41661782224108806,0.7258006950212009,0.6758964935560261,40.9,136.5,348.1,335.3,296.0,40761.8,0.0010000000001224446,0.014211144294494535
BR,0.95033936338445,0.0011534761163486931,0.0075017196740184856,0.15137453516839033,0.43592878850217964,0.05259398625937585,0.05265512049354233,0.3814792429361125,0.38815834910209607,0.6436867483336018,0.6032964756450214,46.2,145.0,124.1,120.0,117.6,16979.7,0.001,0.01419171643542272
GWW,1.2308855159284773,0.005057139382131677,0.007817960371052975,0.15775584380095892,0.5441486065194351,0.06746293234420929,0.06773096073146227,0.3866435678826155,0.38745790434691646,0.650577513886904,0.5902059290184346,254.9,537.7,70.0,68.2,50.9,27019.2,0.007321106352168487,0.013996210666344319
KLIC,1.206956645459812,0.004303020408608716,0.012889151665947333,0.26008561062406527,0.29689395049310463,0.06619470220937003,0.0664227622910263,0.274756388495955,0.28849038787806086,0.6983604864227985,0.6356151274298577,14.5,40.8,73.7,77.0,58.1,2446.4,0.001,0.01387568320188573
VOO,0.9980279122431639,7.721891694162466e-05,0.0001349460155186229,0.0027230276869324127,0.9996204892653964,0.055121479348887684,0.05512557195148559,0.5765562745573385,0.5746541187092429,0.8107934344224395,0.7614703416327548,,,,,,,0.001,0.01344080549402711
WM,0.8851335006121531,0.003021155371066245,0.005134019307812279,0.10359755096651321,0.5887072904842061,0.04913807553244411,0.04929819676711063,0.4666950584480967,0.46661331811104806,0.6710981078505273,0.6201770996577582,51.3,158.3,460.3,457.9,410.5,65664.0,0.001,0.013323349021622966
AMAT,1.3534842363398973,0.0016706980147392504,0.010833744672633986,0.21861028340379354,0.42909807195476857,0.07396066452601456,0.07404921152079573,0.319817994597747,0.3314760253907191,0.624937115992594,0.5658701119185021,24.9,86.5,1294.3,1221.5,860.3,75827.7,0.001,0.013252410422856357
PKI,1.0895933418108914,0.0050751754654362186,0.008956552809006544,0.1807310959472631,0.4161188534717314,0.05997444711597724,0.06024343141564536,0.34987614840519177,0.35657588021335945,0.6180348240692113,0.5728796258450013,43.7,135.3,113.1,113.0,126.2,17222.0,0.001,0.012972545130685968
SNPS,1.135746484022257,0.013416230542214755,0.007034617546133038,0.14194904733928443,0.5565887188712835,0.06242056365317963,0.06313162387191701,0.3959698353561714,0.4051241937094687,0.758031199172075,0.7044784084182001,43.5,289.2,144.2,153.1,152.9,44761.7,0.001,0.012757879512069864
HALO,1.2028307854099416,0.002555545590408761,0.012935331385683433,0.26101745477620936,0.2939795274094773,0.06597603162672691,0.06611147554301856,0.27252978654552196,0.28747343512709844,0.6814294358610249,0.6256217760984305,9.7,47.0,103.7,125.4,137.8,6463.2,0.001,0.012485256097191666
KKR,1.4654545211245236,0.004673505644912021,0.008298465634458588,0.16745178873821173,0.6002783076141611,0.07989508961959975,0.08014278541878009,0.37315240566350455,0.38063308802779616,0.6751527927434031,0.6165651158453365,23.2,48.7,223.3,428.6,859.8,41478.4,0.001,0.012482049027148903
ICFI,0.7784366327740428,0.0023475099546329654,0.007730713849145363,0.15599532724306026,0.3280754254474181,0.04348314153702427,0.04360755956461982,0.3673554620987933,0.3715013591271225,0.6449841702167424,0.6066349339854765,41.0,116.4,19.8,19.4,18.8,2198.8,0.001,0.012252796862045404
MTD,1.0465901647885076,0.0021031483365336954,0.008375393027602183,0.16900407926423056,0.42920733266728517,0.057695278733790906,0.05780674559562719,0.364462446984163,0.368593656665762,0.6721550728025737,0.627307048227435,302.5,1253.1,31.6,28.5,22.5,28422.0,0.0690881282058881,0.011955946839262734
INTU,1.1010789203829079,0.010189900726238352,0.006924086480071776,0.13971868024030598,0.5490923395063037,0.06058318278029412,0.06112324751878475,0.40511331366767317,0.40775262095417814,0.6681726228268126,0.6170443942240972,92.2,422.0,297.2,285.5,281.9,119622.8,0.001,0.01185987625774309
FIX,1.1673328986597276,0.0008022039433033191,0.011090288570709417,0.22378699154658832,0.3479048947470553,0.06409464362896557,0.06413716043796064,0.30839764985219004,0.3166251074988216,0.6363579185840383,0.5782195673879251,17.1,118.4,37.5,37.3,35.8,3922.2,0.001,0.011803299167411024
THRM,1.2577453112016979,0.001386118305953088,0.011415469211314207,0.23034869612317926,0.36891782251974403,0.06888650149368998,0.0689599657639055,0.3142180063206293,0.31627665765024693,0.5910728451996085,0.5296246331714828,36.6,56.6,23.2,35.7,33.2,1868.8,0.001,0.01173586890382521
MSFT,0.8757114142528847,0.015444236872963675,0.004875664219834395,0.09838429546637914,0.6083746343603548,0.04863870495540289,0.04945724950966997,0.46469440297572995,0.47682012592655537,0.9648070468080189,0.9247988211874217,46.5,226.8,8390.8,8242.9,7454.5,1724369.0,0.001000000000640687,0.011400603123943132
AVGO,1.0028103649429922,0.005786908685581786,0.00872450443845126,0.1760486743485136,0.38883229640424277,0.05537494934197859,0.05568165550231442,0.3584091829785568,0.3576234129020654,0.5366746226028749,0.48566399415621453,100.6,455.4,245.9,255.3,416.6,192147.8,0.001,0.011001257096361756
