Ticker,MthCalDt,MthPrc
HON,20191231,177
HON,20200131,173.22
HON,20200228,162.17
HON,20200331,133.79
HON,20200430,141.9
HON,20200529,145.85
HON,20200630,144.59
HON,20200731,149.37
HON,20200831,165.55
HON,20200930,164.61
HON,20201030,164.95
HON,20201130,203.92
HON,20201231,212.7
HON,20210129,195.37
HON,20210226,202.35
HON,20210331,217.07
HON,20210430,223.04
HON,20210528,230.91
HON,20210630,219.35
HON,20210730,233.79
HON,20210831,231.91
HON,20210930,212.28
HON,20211029,218.62
HON,20211130,202.24
HON,20211231,208.51
HON,20220131,204.48
HON,20220228,189.75
HON,20220331,194.58
AMRC,20170131,5.2
AMRC,20170228,5.05
AMRC,20170331,6.55
AMRC,20170428,6.45
AMRC,20170531,6.9
AMRC,20170630,7.7
AMRC,20170731,6.55
AMRC,20170831,7.25
AMRC,20170929,7.8
AMRC,20171031,7.7
AMRC,20171130,8.5
AMRC,20171229,8.6
AMRC,20180131,8.7
AMRC,20180228,8.15
AMRC,20180329,13
AMRC,20180430,11.85
AMRC,20180531,11.95
AMRC,20180629,12
AMRC,20180731,13.4
AMRC,20180831,14.35
AMRC,20180928,13.65
AMRC,20181031,16.37
AMRC,20181130,15.72
AMRC,20181231,14.1
AMRC,20190131,14.93
AMRC,20190228,16.37
AMRC,20190329,16.18
AMRC,20190430,15.06
AMRC,20190531,14.5
AMRC,20190628,14.73
AMRC,20190731,14.25
AMRC,20190830,14.4
AMRC,20190930,16.07
AMRC,20191031,14.74
AMRC,20191129,16.35
AMRC,20191231,17.5
AMRC,20200131,19.19
AMRC,20200228,22.54
AMRC,20200331,17.03
AMRC,20200430,18.06
AMRC,20200529,21.46
AMRC,20200630,27.78
AMRC,20200731,27.68
AMRC,20200831,34.14
AMRC,20200930,33.4
AMRC,20201030,38.39
AMRC,20201130,44.55
AMRC,20201231,52.24
AMRC,20210129,56.09
AMRC,20210226,57.12
AMRC,20210331,48.63
AMRC,20210430,52.79
AMRC,20210528,53.76
AMRC,20210630,62.72
AMRC,20210730,68.53
AMRC,20210831,69.15
AMRC,20210930,58.43
AMRC,20211029,82.13
AMRC,20211130,90.33
AMRC,20211231,81.44
AMRC,20220131,50.61
AMRC,20220228,64.25
AMRC,20220331,79.5
RGEN,20170131,30.04
RGEN,20170228,31.51
RGEN,20170331,35.2
RGEN,20170428,36.79
RGEN,20170531,39.24
RGEN,20170630,41.44
RGEN,20170731,40.27
RGEN,20170831,43.67
RGEN,20170929,38.32
RGEN,20171031,37.2
RGEN,20171130,35.45
RGEN,20171229,36.28
RGEN,20180131,35.37
RGEN,20180228,34.29
RGEN,20180329,36.18
RGEN,20180430,37
RGEN,20180531,43.68
RGEN,20180629,47.04
RGEN,20180731,48.33
RGEN,20180831,54.88
RGEN,20180928,55.46
RGEN,20181031,54.22
RGEN,20181130,64.67
RGEN,20181231,52.74
RGEN,20190131,57.01
RGEN,20190228,59.52
RGEN,20190329,59.08
RGEN,20190430,67.38
RGEN,20190531,69.47
RGEN,20190628,85.95
RGEN,20190731,94.39
RGEN,20190830,92.81
RGEN,20190930,76.69
RGEN,20191031,79.49
RGEN,20191129,88.75
RGEN,20191231,92.5
RGEN,20200131,100.39
RGEN,20200228,85.6
RGEN,20200331,96.54
RGEN,20200430,116.15
RGEN,20200529,130.97
RGEN,20200630,123.61
RGEN,20200731,150.91
RGEN,20200831,154.91
RGEN,20200930,147.54
RGEN,20201030,166.57
RGEN,20201130,189.67
RGEN,20201231,191.63
RGEN,20210129,200
RGEN,20210226,212.39
RGEN,20210331,194.41
RGEN,20210430,211.71
RGEN,20210528,182.61
RGEN,20210630,199.62
RGEN,20210730,245.7
RGEN,20210831,282.98
RGEN,20210930,288.99
RGEN,20211029,290.5
RGEN,20211130,286.5
RGEN,20211231,264.84
RGEN,20220131,198.34
RGEN,20220228,196.7
RGEN,20220331,188.09
BWXT,20170131,41.49
BWXT,20170228,46.44
BWXT,20170331,47.6
BWXT,20170428,49.17
BWXT,20170531,48.6
BWXT,20170630,48.75
BWXT,20170731,52.68
BWXT,20170831,54.72
BWXT,20170929,56.02
BWXT,20171031,59.92
BWXT,20171130,62.45
BWXT,20171229,60.49
BWXT,20180131,63.44
BWXT,20180228,62.96
BWXT,20180329,63.53
BWXT,20180430,67.8
BWXT,20180531,66.74
BWXT,20180629,62.32
